id,name,genotype,sample,location,tissue_genotype,time,TissueGenotypeTime
KP0B,KP0B,KO,ctrl,colon,colon_ko,0,colon_ko_0
KP0,KP0,KO,ctrl,colon,colon_ko,0,colon_ko_0
KP1B,KP1B,KO,d1,colon,colon_ko,1,colon_ko_1
KP1,KP1,KO,d1,colon,colon_ko,1,colon_ko_1
KP2B,KP2B,KO,d2,colon,colon_ko,2,colon_ko_2
KP2,KP2,KO,d2,colon,colon_ko,2,colon_ko_2
KP4B,KP4B,KO,d4,colon,colon_ko,4,colon_ko_4
KP4,KP4,KO,d4,colon,colon_ko,4,colon_ko_4
KP6B,KP6B,KO,d6,colon,colon_ko,6,colon_ko_6
KP6,KP6,KO,d6,colon,colon_ko,6,colon_ko_6
WP2,WP2,WT,ctrl,colon,colon_wt,2,colon_wt_tam
WP6,WP6,WT,ctrl,colon,colon_wt,6,colon_wt_tam
G3,Ileum_30_1,WT,ctrl,ileum,ileum_wt,30,ileum_wt_30
G4,Ileum_30_2,WT,ctrl,ileum,ileum_wt,30,ileum_wt_30
G5,Ileum_30_3,WT,ctrl,ileum,ileum_wt,30,ileum_wt_30
G8,Colon_30_1,WT,ctrl,colon,colon_wt,30,colon_wt_tam
G9,Colon_30_2,WT,ctrl,colon,colon_wt,30,colon_wt_tam
G10,Colon_30_3,WT,ctrl,colon,colon_wt,30,colon_wt_tam
G11,Colon_KO30_1,KO,d30,colon,colon_ko,30,colon_ko_30
G15,Colon_KO30_2,KO,d30,colon,colon_ko,30,colon_ko_30
G16,Colon_KO30_3,KO,d30,colon,colon_ko,30,colon_ko_30
